word,score,district
ক,6.273511378755275,sandwip
আঁই,5.945933886160372,sandwip
ন,5.786804889826682,sandwip
ইয়া,4.897296722733738,sandwip
আঁর,3.762735145249186,sandwip
গৈ,3.5435430838720974,sandwip
দি,3.2878500352848525,sandwip
আসমা,3.2015774637859766,sandwip
লই,2.8722522549274485,sandwip
এন্নে,2.861171410583658,sandwip
কোই,2.669971993326386,sandwip
হেতে,2.657663356113706,sandwip
অইবো,2.6029162032975406,sandwip
অই,2.510801500081656,sandwip
হিয়া,2.486432022614148,sandwip
হুম,2.4173441193229563,sandwip
লাগে,2.3994142368538625,sandwip
হরে,2.359092052815481,sandwip
আম্মা,2.2678690747521606,sandwip
ইয়ান,2.2496163424091318,sandwip
ভালা,2.2141674372628297,sandwip
আংগো,2.178527244961244,sandwip
নে,2.115454554183607,sandwip
অইছে,2.090259465733223,sandwip
হোলাইন,2.082234983881386,sandwip
যাই,2.0724775743068147,sandwip
মাইয়া,2.0542015052578235,sandwip
দিছে,2.0193776362871696,sandwip
উগগা,2.017455961602643,sandwip
আইছে,2.0151402275390633,sandwip
অন,1.9819158203015037,sandwip
মানি,1.9814717111862838,sandwip
নি,1.963705612148275,sandwip
অ,1.9278595440495958,sandwip
মাছ,1.9015553329208175,sandwip
অ্যা,1.8791375256319007,sandwip
অনকা,1.8426508747172239,sandwip
যাইবো,1.8109037130467323,sandwip
আইছলো,1.8038675616621478,sandwip
বউত,1.7506979678122794,sandwip
আন্নে,1.7433839804750186,sandwip
হেতের,1.723205305261152,sandwip
কাডি,1.7203098001461634,sandwip
যন,1.6806114443950868,sandwip
মা,1.6213959918553182,sandwip
বাইত,1.5771170886428594,sandwip
হরালেখা,1.5605504056489052,sandwip
দরকার,1.54172754969012,sandwip
হিয়ার,1.5393733426054867,sandwip
অইলে,1.5270780940511721,sandwip
